reception[0], 0x000052D0,
reception[1], 0x00005208,
reception[2], 0x000052D0,
reception[3], 0x00005208,
reception[4], 0x000052D0,
reception[5], 0x00005398,
reception[6], 0x000052D0,
reception[7], 0x00005398,
reception[8], 0x00010248,
reception[9], 0x000101D0,
reception[10], 0x000102E8,
reception[11], 0x00010270,
reception[12], 0x000101D0,
reception[13], 0x000104F0,
reception[14], 0x000102C0,
reception[15], 0x00010248,
reception[16], 0x00005320,
reception[17], 0x000101A8,
reception[18], 0x000102E8,
reception[19], 0x00005398,
reception[20], 0x00010220,
reception[21], 0x00005230,
reception[22], 0x00010338,
reception[23], 0x00005370,
reception[24], 0x00010220,
reception[25], 0x00005208,
reception[26], 0x00005320,
reception[27], 0x000101A8,
reception[28], 0x00005348,
reception[29], 0x00010298,
reception[30], 0x000052D0,
reception[31], 0x00010180,
